,gid,pid,fgxp,dist,make,season,postseason,away,stadium,temp,humidity,wind-spd,cond,surface,player id,player
2550,4069,665747,FG,31,1,2015,0,1,Heinz Field,45,47,12,Partly Cloudy,Grass,CC-1150,Chandler Catanzaro
2551,4069,665761,FG,48,1,2015,0,0,Heinz Field,45,47,12,Partly Cloudy,Grass,CB-2275,Chris Boswell
2552,4069,665785,FG,51,1,2015,0,0,Heinz Field,45,47,12,Partly Cloudy,Grass,CB-2275,Chris Boswell
2553,4069,665792,FG,39,1,2015,0,1,Heinz Field,45,47,12,Partly Cloudy,Grass,CC-1150,Chandler Catanzaro
2554,4069,665806,FG,28,1,2015,0,0,Heinz Field,45,47,12,Partly Cloudy,Grass,CB-2275,Chris Boswell
2555,4070,665855,FG,24,1,2015,0,0,TCF Bank Stadium,54,0,10,Sunny,FieldTurf,BW-0350,Blair Walsh
2556,4070,665925,FG,45,1,2015,0,0,TCF Bank Stadium,54,0,10,Sunny,FieldTurf,BW-0350,Blair Walsh
2557,4070,665951,FG,48,1,2015,0,1,TCF Bank Stadium,54,0,10,Sunny,FieldTurf,CS-0250,Cairo Santos
2558,4070,665975,FG,45,1,2015,0,0,TCF Bank Stadium,54,0,10,Sunny,FieldTurf,BW-0350,Blair Walsh
2559,4071,666050,FG,47,1,2015,0,1,Ralph Wilson Stadium,40,73,4,Cloudy,A Turf Titan,MN-0800,Mike Nugent
2560,4071,666119,FG,39,1,2015,0,1,Ralph Wilson Stadium,40,73,4,Cloudy,A Turf Titan,MN-0800,Mike Nugent
2561,4072,666174,FG,27,1,2015,0,1,Ford Field,-999,-999,-999,Dome,FieldTurf,RG-1500,Robbie Gould
2562,4072,666212,FG,23,1,2015,0,1,Ford Field,-999,-999,-999,Dome,FieldTurf,RG-1500,Robbie Gould
2563,4072,666255,FG,38,1,2015,0,1,Ford Field,-999,-999,-999,Dome,FieldTurf,RG-1500,Robbie Gould
2564,4072,666264,FG,39,1,2015,0,0,Ford Field,-999,-999,-999,Dome,FieldTurf,MP-2100,Matt Prater
2565,4072,666304,FG,32,1,2015,0,0,Ford Field,-999,-999,-999,Dome,FieldTurf,MP-2100,Matt Prater
2566,4072,666321,FG,29,1,2015,0,1,Ford Field,-999,-999,-999,Dome,FieldTurf,RG-1500,Robbie Gould
2567,4072,666351,FG,27,1,2015,0,0,Ford Field,-999,-999,-999,Dome,FieldTurf,MP-2100,Matt Prater
2568,4073,666379,FG,29,1,2015,0,1,FirstEnergy Stadium,47,52,20,Sunny,Grass,BM-1650,Brandon McManus
2569,4073,666427,FG,51,0,2015,0,1,FirstEnergy Stadium,47,52,20,Sunny,Grass,BM-1650,Brandon McManus
2570,4073,666465,FG,25,1,2015,0,1,FirstEnergy Stadium,47,52,20,Sunny,Grass,BM-1650,Brandon McManus
2571,4073,666479,FG,39,1,2015,0,1,FirstEnergy Stadium,47,52,20,Sunny,Grass,BM-1650,Brandon McManus
2572,4073,666557,FG,34,1,2015,0,1,FirstEnergy Stadium,47,52,20,Sunny,Grass,BM-1650,Brandon McManus
